Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service
Mental Health Services (Cognitive Behavioral Services),https://www.auntbertha.com//cognitive-behavioral-services--philadelphia-pa--mental-health-services/4806418992726016?postal=19131,"['daily life skills', 'specialized therapy', 'mental health care', 'anger management', 'group therapy', 'family counseling', 'individual counseling', 'medications for mental health', 'mental health evaluation', 'outpatient treatment']",,"['adults', 'young adults', 'teens', 'children', 'seniors', 'individuals', 'families', 'benefit recipients', 'all mental health']",215-634-3976,http://cognitivebehavioralservices.org/,"3257 North 6th Street, Philadelphia, PA 19140","https://www.google.com/maps/?q=3257+North+6th+Street,+Philadelphia,+PA+19140/","['This program helps people who are older than 4 years old.', 'Must have Medicaid.']",available,"Cognitive Behavioral Services provides outpatient mental health evaluation and treatment to individuals and families in the Philadelphia area. Services include: - Psychiatric Evaluation- Psychotherapy- Medication Follow Ups- Couple and Family Therapy- Group Therapy- Anger Management Training- Dialectic Behavioral Therapy- Cognitive Therapy- Play Therapy- Stress Tolerance Skills Training- Mindfulness Skills TrainingCBS accepts Medicaid. Clients may call to schedule an appointment, or the provider takes walk-ins during all business hours.","['English', 'Spanish']",Reduced Cost,TRUE,https://www.facebook.com/cognitivebehavioralservicesinc/,,"This program covers residents of the following counties: Philadelphia County, PA.",40.0014257,-75.14007,19140,FALSE,8:00AM - 7:00PM,8:00AM - 7:00PM,8:00AM - 7:00PM,8:00AM - 7:00PM,8:00AM - 7:00PM,8:00AM - 5:00PM,Closed,2.9,Mental Health
Mental Health Services (Corporal Michael J. Crescenz VA Medical Center),https://www.auntbertha.com//corporal-michael-j.-crescenz-va-medical-center-%2528cmcvamc%2529--philadelphia-pa--mental-health-services/6564615232684032?postal=19111,"['mental health care', 'counseling', 'medications for mental health', 'mental health evaluation', 'understand mental health']",['transportation for healthcare'],"['adults', 'young adults', 'teens', 'seniors', 'veterans', 'ptsd', 'in crisis', 'all mental health']",215-823-4014,https://www.va.gov/philadelphia-health-care/,"3900 Woodland Ave, Philadelphia, PA 19104","https://www.google.com/maps/?q=3900+Woodland+Ave,+Philadelphia,+PA+19104/",['Must be a registered veteran'],available,"Veteran Affairs Hospital in Philadelphia offers Mental Health Services and inpatient mental health treatment for veterans.This program provides.- Mental health careIf you are receiving outpatient mental health services at the VA outpatient office in Camden and can get a referral from their primary care provider or psychiatrist, you can receive services more quickly. Otherwise, there may be a waitlist.",['English'],Free,TRUE,https://www.facebook.com/VeteransAffairs,https://www.twitter.com/@DeptVetAffairs,"This program covers residents of the following counties: Camden County, NJ, Cumberland County, NJ, Hudson County, NJ, Mercer County, NJ and Philadelphia County, PA.",39.9481824,-75.2000374,19104,TRUE,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,3.7,Mental Health
Mental Health Services (Mazzoni Center),https://www.auntbertha.com//mazzoni-center--philadelphia-pa--mental-health-services/5571102987255808?postal=19131,"['addiction & recovery', 'peer recovery coaching', 'understand mental health', 'mental health care', 'medications for mental health', 'mental health evaluation', 'support groups']",,"['adults', 'young adults', 'teens', 'seniors', 'lgbtqia+', 'individuals', 'families', 'spouses', 'all mental health', 'substance dependency']",215-563-0652,https://www.mazzonicenter.org/supportive-services/therapy-and-recovery,"1348 Bainbridge Street, Philadelphia, PA 19147","https://www.google.com/maps/?q=1348+Bainbridge+Street,+Philadelphia,+PA+19147/",['This program serves LGBTQ+ adolescents and adults.'],available,"Mazzoni Center provides quality professional, accessible and culturally affirming psychotherapy and psychiatric services for LGBTQ+ individuals, couples, and families. This program offers an array of outpatient therapeutic services including individual, couples/relationship and family therapy. Out staff has expertise in helping to address  many issues including depression, anxiety, trauma,  exploration of gender identity, sexuality and sexual health, all through the lens of social justice and LGBTQ+ affirmation.This program provides:- Supportive recovery oriented counseling & groups- Psychiatric evaluation- Medication management- Peer recovery support- Referrals to community based servicesThis provider accepts most major insurance plans, as well as Medicaid and Medicare. Sliding scale is available to those who are uninsured and/or not eligible for other coverage.",['English'],Sliding Scale,TRUE,https://www.facebook.com/MazzoniCenter,https://www.twitter.com/@MazzoniCenter,"This program covers residents of the following counties: Philadelphia County, PA.",39.9426271,-75.165083,19147,FALSE,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 5:00PM,Closed,Closed,0,Mental Health
Mental Health Services (Philadelphia Consultation Center),https://www.auntbertha.com//philadelphia-consultation-center--philadelphia-pa--mental-health-services/4616740875272192?postal=19111,"['counseling', 'mental health care', 'anger management', 'individual counseling']",,"['all ages', 'trauma survivors', 'abuse or neglect survivors', 'depression', 'bipolar', 'anxiety', 'eating disorder', 'ptsd', 'all mental health']",215-732-8244611,https://pcctherapy.com/about-pcc/,"313 South 16th Street, Philadelphia, PA 19102","https://www.google.com/maps/?q=313+South+16th+Street,+Philadelphia,+PA+19102/",['Must have Medicaid or Medicare to receive reduced cost services.'],available,"Philadelphia Consultation Center's Mental Health services address a wide range of mental health issues through counseling and support.This program provides:- Individual therapyServices can address:- Anxiety and depression- Phobias- Abusive or traumatic life experiences- Anger- Eating disorders- Schizophrenia, OCD, PTSD, bi-polar, and severe depressionPhiladelphia Consultation Center accepts Medicaid and Medicare. Please call to complete an intake. If nobody answers, leave a message and someone will return your call within 2 business days.","['English', 'Persian', 'Portuguese', 'Spanish']",Reduced Cost,TRUE,https://www.facebook.com/Philadelphia-Consultation-Center-133865143332142/,,"This program covers residents of the following counties: Philadelphia County, PA.",39.9468198,-75.1679905,19102,FALSE,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,Closed,Closed,3.5,Mental Health
"Mental Health Services (Preventive Measures, Inc.)",https://www.auntbertha.com//preventive-measures%252C-inc.--philadelphia-pa--mental-health-services/5662013538435072?postal=19131,"['counseling', 'medication management', 'mental health care', 'family counseling', 'individual counseling', 'medications for mental health', 'mental health evaluation']",,"['all ages', 'benefit recipients', 'limited english', 'depression', 'anxiety', 'all mental health']",215-999-8210,https://www.preventivemeasuresinc.com/mental-health,"1335 West Tabor Road, Philadelphia, PA 19141","https://www.google.com/maps/?q=1335+West+Tabor+Road,+Philadelphia,+PA+19141/",['Must have Medicaid.'],available,"Preventative Measures offers mental health services to individuals, couples, families, and children.This program provides:- Individual Therapy- Couples Therapy- Family Therapy- Child Therapy- Psychiatric Evaluations- Medication ManagementPreventive Measures accepts Medicaid for its services.","['English', 'Spanish']",Reduced Cost,TRUE,https://www.facebook.com/preventivemeasuresinc/?eid=ARBlQM%20OZxhxMXUI2vnSbADbX7j4z6a3el4N1lU2swL2NDHFwSpYr5NdCs_kY%20gyt0sVh3U5Q540UbeDaX,,"This program covers residents of the following counties: District Of Columbia County, DC, Rockdale County, GA, Lehigh County, PA, Monroe County, PA, Philadelphia County, PA and Passaic County, NJ.",40.0383603,-75.144052,19141,FALSE,8:00AM - 6:00PM,8:00AM - 6:00PM,8:00AM - 6:00PM,8:00AM - 6:00PM,8:00AM - 5:00PM,Closed,Closed,0,Mental Health
Mental Health Services (The City of Philadelphia Department of Behavioral Health and Intellectual Disability Services),https://www.auntbertha.com//the-city-of-philadelphia-department-of-behavioral-health-and-intellectual-disability-services--philadelphia-pa--mental-health-services/5809062152503296?postal=19111,"['understand mental health', 'counseling', 'navigating the system', 'help hotlines']",,"['all ages', 'benefit recipients', 'uninsured', 'underinsured', 'caregivers', 'parents', 'all mental health']",888-545-2600,https://dbhids.org/mental-health-services/,"1101 Market St 7th Floor, Philadelphia, PA 19107","https://www.google.com/maps/place/City+of+Philadelphia+Department+of+Behavioral+Health+and+Intellectual+disAbility+Services+(DBHIDS)/@39.9521671,-75.1609892,732m/data=!3m2!1e3!4b1!4m6!3m5!1s0x89c6c62913a064a9:0x5c873e55997d2ec7!8m2!3d39.9521671!4d-75.1584143!16s%2Fg%2F11fll67z7k?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D",[],available,"DBHIDS offers help accessing and navigating mental health services for yourself, a family member or a significant other.Sensitive and trained staff are available to assist with general information and referral resources for services such as:- Case Management- Housing Supports- Homelessness Outreach- Mental Health Court- Criminal Justice supports- Family Supports- Other mental health-related supportsIf you are a Philadelphian that is uninsured or underinsured call 215-685-5400. If you are Medicaid eligible call 888-545-2600. Services are available regardless of your ability to pay.*Effective immediately, and until further notice, CBH’s administrative offices will not receive visitors. Please call if you're seeking services.*",['English'],Reduced Cost,TRUE,https://www.facebook.com/pages/Philadelphia-PA/City-of-Philadelphia/23587514958,https://www.twitter.com/@PhiladelphiaGov,"This program covers residents of the following cities: Philadelphia, PA.",39.9521671,-75.1609892,19107,TRUE,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0,Mental Health
"Mental Health Therapy (Julia Ferrence, MSW, LSSW.)",https://www.auntbertha.com//julia-ferrence%252C-msw%252C-lssw.--philadelphia-pa--mental-health-therapy/6074864257204224?postal=19111,"['bereavement', 'anger management', 'family counseling', 'individual counseling', 'virtual support']",,"['adults', 'young adults', 'teens', 'seniors', 'students', 'grieving', 'pregnant', 'individuals', 'families', 'mothers', 'parents', 'ptsd', 'all mental health', 'transgender or non-binary']",267-399-1092,,"2305 Fairmount Avenue, Philadelphia, PA 19130","https://www.google.com/maps/?q=2305+Fairmount+Avenue,+Philadelphia,+PA+19130/",[],available,Ms. Ferrence's therapeutic services address a range of potential mental and emotional issues. She utilizes a variety of well-tested techniques to help clients achieve and maintain mental and emotional wellbeing.Services:- Individual counseling- Couples counseling- Family counseling- Phone and video-based sessionsPlease call for a free consultation.Ms. Ferrence offers a sliding fee scale.,['English'],Sliding Scale,TRUE,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.967587,-75.1755941,19130,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,0,Mental Health
Mental Health Treatment (CORA Services),https://www.auntbertha.com//cora-services--philadelphia-pa--mental-health-treatment/5869386343907328?postal=19104,"['mental health care', 'counseling', 'group therapy', 'family counseling', 'individual counseling']",,"['adults', 'young adults', 'teens', 'children', 'individuals', 'families', 'benefit recipients', 'all mental health']",215-342-7660,https://www.coraservices.org/services/child-family-services/mental-health-treatment/,"8540 Verree Road, Philadelphia, PA 19111","https://www.google.com/maps/?q=8540+Verree+Road,+Philadelphia,+PA+19111/",['This is a FFS program so fees are greatly reduced by commercial insurance; this is not a Medicaid-based service.'],available,"CORA’s Clinical Services Division offers counseling and therapy services for the treatment of mental health issues in children, adolescents, adults, and families. We focus on relationship difficulties, family functioning issues, stress-related problems, parenting and child behavior concerns and adjusting/ reacting to significant changes such as loss/trauma.

Services: 

- Individual, couples and family counseling/therapy

CORA accepts Medicaid for AOD Treatment services.

Services are currently being delivered in-person and remotely through telehealth due to the ongoing COVID-19 pandemic.",['English'],Sliding Scale,TRUE,https://www.facebook.com/CORAServices,,"This program covers residents of the following cities: Philadelphia, PA.",40.0817112,-75.0681416,19111,FALSE,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 5:00PM,Closed,Closed,4.4,Mental Health
Mental Health Walk-In Clinic (Merakey - Pennsylvania),https://www.auntbertha.com//merakey---pennsylvania--philadelphia-pa--mental-health-walk-in-clinic/4730912096780288?postal=19131,"['mental health care', 'mental health evaluation', 'case management']",['peer support'],"['adults', 'young adults', 'teens', 'seniors', 'grieving', 'low-income', 'uninsured', 'depression', 'anxiety', 'all mental health', 'substance dependency']",267-219-8801,https://www.merakey.org/programs/mental-health-walk-in-clinic,"3125 North Broad Street, Philadelphia, PA 19132","https://www.google.com/maps/?q=3125+North+Broad+Street,+Philadelphia,+PA+19132/","['This program helps people who are older than 17 years old.', 'This program serves adults needing same-day mental health care that is not an emergency.']",available,The Mental Health Walk-In Clinic is Philadelphia’s first and only behavioral health urgent care for adults (18+) needing same-day mental health care that is not an emergency.This program provides:- Mental health careSupport services include:- Depression/Anxiety/Stress/Grief- De-escalation and stabilization- Mood disturbances- Medication issues- Short-term prescriptions- Care Coordination- Solution-focused brief therapy- Psychiatric Evaluation- Peer support- Short term case management- Warm hand offs- Substance Use Assessments and referrals (ASAM)- Referrals to follow-up services and community resourcesMerakey can serve individuals regardless of insurance or ability to pay.,['English'],Reduced Cost,TRUE,https://www.facebook.com/MerakeyOrg,,"This program covers residents of the following cities: Philadelphia, PA.",40.0006951,-75.152636,19132,FALSE,11:00AM - 6:00PM,11:00AM - 6:00PM,11:00AM - 6:00PM,11:00AM - 6:00PM,11:00AM - 6:00PM,11:00AM - 6:00PM,11:00AM - 6:00PM,2.8,Mental Health
Mental Health/ Co-Occurring Residential Services (Gaudenzia),https://www.auntbertha.com//gaudenzia--philadelphia-pa--mental-health--co-occurring-residential-services/6149967672508416?postal=19111,"['addiction & recovery', 'residential treatment', 'mental health care']",,"['adults 18+', 'individuals', 'all mental health', 'substance dependency', 'dual diagnosis']",833-976–4357,http://www.gaudenzia.org/services,"607 Church Lane, Philadelphia, PA 19144","https://www.google.com/maps/?q=607+Church+Lane,+Philadelphia,+PA+19144/",['Must have Medicaid or Medicare.'],available,"Mental Health Residential Services is a specialized program to treat individuals whose chemical dependency co-occurs with mental disorders. This program provides: - Specialized addiction treatment- Mental health careGaudenzia services are available to everyone, regardless of insurance. They also accept Medicaid and Medicare.",['English'],Reduced Cost,TRUE,None,None,"This program covers residents of the following states: DC, DE, MD and PA.",40.0414041,-75.1633005,19144,TRUE,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0,Mental Health
Miracles In Progress (The Behavioral Wellness Center at Girard),https://www.auntbertha.com//the-behavioral-wellness-center-at-girard--philadelphia-pa--miracles-in-progress/4795404263882752?postal=19111,"['substance abuse counseling', 'residential treatment']",,"['adults 18+', 'male', 'homeless', 'substance dependency']",215-787-2000,https://bewellctr.org/inpatient-drug-alcohol/,"801 West Girard Avenue, Philadelphia, PA 19122","https://www.google.com/maps/?q=801+West+Girard+Avenue,+Philadelphia,+PA+19122/",[],available,"The Behavioral Wellness Center's Miracles in Progress program provides long-term recovery services for chronically homeless men with substance use disorders and co-occurring mental health issues. The program is open ended, targeting men who have lived on the streets or in Philadelphia shelters for at least five years.This program provides: - Drug and alcohol treatment for men that are chronically homeless",['English'],Free,TRUE,https://www.facebook.com/BeWellatGirard/,,"This program covers residents of the following counties: Philadelphia County, PA.",39.9712194,-75.149293,19122,TRUE,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,3.5,Mental Health
"Mobile Crisis (The Consortium, Inc.)",https://www.auntbertha.com//the-consortium%252C-inc.--philadelphia-pa--mobile-crisis/5632912957636608?postal=19131,['psychiatric emergency services'],,"['adults 18+', 'benefit recipients', 'low-income']",215-748-8400,https://consortiuminc.org/,"5501 Chestnut Street, Philadelphia, PA 19139","https://www.google.com/maps/?q=5501+Chestnut+Street,+Philadelphia,+PA+19139/","['This program helps people who are older than 18 years old.', 'Must meet income requirements or have Medicaid.']",available,The Mobile Crisis Unit is designed to handle psychiatric emergencies for individuals 18 years and older and for businesses located in West and Southwest Philadelphia area. Services include but are not limited to: - On-site evaluations- Arranging voluntary and involuntary hospitalization- Crisis interventionThe Consortium accepts Medicaid and offers a sliding scale fee for low-income individuals. We don't turn anyone away.,['English'],Sliding Scale,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",39.9595245,-75.23145,19139,TRUE,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0,Mental Health
Mobile Mental Health Services (Philadelphia Mental Health Center),https://www.auntbertha.com//philadelphia-mental-health-center--philadelphia-pa--mobile-mental-health-services/6386179860856832?postal=19111,"['mental health care', 'counseling', 'in-home support']",,"['adults 18+', 'all disabilities', 'autism', 'all mental health']",215-735-9379,http://www.pmhccares.org/,"1235 Pine Street, Philadelphia, PA 19107","https://www.google.com/maps/?q=1235+Pine+Street,+Philadelphia,+PA+19107/","['Must have Medical Assistance (Medicaid).', 'This program serves adults who have a medical condition or disability that limits their ability to come into the office for regular sessions.']",available,Our Mobile Mental Health Services is individual therapy that is provided in the home. This service is available to adults who has a medical condition or disability that limits his/her ability to come into the office for regular sessions. Mobile Mental Health is performed by a qualified Master’s-Level or Doctoral Level clinician.Services include:- Trained professional staff- Individual therapyPhiladelphia Mental Health Center accepts Medical Assistance (Medicaid).,['English'],Reduced Cost,TRUE,https://www.facebook.com/PMHCCares/,,"This program covers residents of the following counties: Bucks County, PA and Philadelphia County, PA.",39.9453496,-75.1625869,19107,FALSE,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 7:00PM,8:00AM - 7:00PM,2.9,Mental Health
Mobile Psychiatric Rehabilitation Service (Horizon House),https://www.auntbertha.com//horizon-house--philadelphia-pa--mobile-psychiatric-rehabilitation-service/6235162526875648?postal=19104,"['mental health care', 'mental health evaluation']",['in-home support'],"['adults 18+', 'all mental health']",215-386-3838,https://www.hhinc.org/behavioral-health-services/housing-and-supported-living-2/,"5901 Market Street, Philadelphia, PA 19136","https://www.google.com/maps/?q=5901+Market+Street,+Philadelphia,+PA+19136/","['This program serves adults with serious mental illness.', 'Must have a referral to receive services.']",available,"Mobile Psychiatric Rehabilitation (MPR) is a service for adults with serious mental illness. Service is provided on site, in the individual’s location of choice, be it their home, school, work or elsewhere in the community. Mobile psychiatry is recovery/resiliency-oriented and time limited aimed at supporting individual functioning levels in four domains: living, learning, socializing and working. This service focuses on skill development and providing support for individuals to live independently in the community of their choice.Services offered:- Psychiatric support- Mobile servicesHorizon House accepts Medicare and Medicaid. Weekend hours are available as needed.For services in Philadelphia County, referrals are only received from Community Behavioral Health (CBH). Please call them at 1-888-545-2600; For services in Delaware County, referrals are made through – Horizon House Psychiatric Rehabilitation Assessment Specialist at 610-876-2403 or intensive case manager, case manager, therapist, Licensed Professional of the Healing Arts, self-referral or Delaware County Base Service Unit.",['English'],Reduced Cost,TRUE,None,None,"This program covers residents of the following counties: Delaware County, PA and Philadelphia County, PA.",39.962058,-75.2391324,19136,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,0,Mental Health
Mobile Psychiatric Rehabilitation Services MPRS (JEVS Human Services),https://www.auntbertha.com//jevs-human-services--philadelphia-pa--mobile-psychiatric-rehabilitation-services-%2528mprs%2529/4608273741381632?postal=19111,"['daily life skills', 'understand disability', 'understand mental health', 'community support services', 'recreation']",['transportation'],"['adults 18+', 'all mental health']",267-350-8600,https://www.jevshumanservices.org/program/integrated-behavioral-health-mobile-psychiatric-rehabilitation-services-mprs/,"9350 Ashton Road, Philadelphia, PA 19114","https://www.google.com/maps/?q=9350+Ashton+Road,+Philadelphia,+PA+19114/","['Persons age 18 years or older, diagnosed with a serious mental illness who exhibit moderate to severe functional impairment, who have demonstrated the ability to live independently with support, and who reside in Philadelphia County']",available,"Mobile Psychiatric Rehabilitation Services (MPRS), part of JEVS Integrated Behavioral Health, enables adults with serious mental illness to live independently in their community and receive support to provide psychiatric stability, social competencies, skill building and personal adjustment. This program provides:- Participation in community activities, volunteer opportunities and events- Tenant/landlord supportive services- Natural supports in the community- Independent living supports- Representative payee support- Assistive technology support- Employer/employee supportFree to those who qualify through the Department of Behavioral Health Security Income (SSI)",['English'],Sliding Scale,TRUE,https://www.facebook.com/JEVSHumanServices,https://www.twitter.com/@JEVSHumanServs,"This program covers residents of the following counties: Philadelphia County, PA.",40.0684785,-75.0197478,19114,FALSE,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM,8:00AM - 4:00PM,Closed,Closed,0,Mental Health
Mother Baby Connections (Drexel University),https://www.auntbertha.com//drexel-university--philadelphia-pa--mother-baby-connections/6313463017373696?postal=19104,"['understand mental health', 'counseling', 'specialized therapy', 'mental health care', 'family counseling', 'individual counseling', 'maternity care', 'support network']","['transportation', 'transportation for healthcare', 'childcare']","['adults', 'young adults', 'female', 'pregnant', 'families', 'with children', 'mothers', 'depression', 'anxiety', 'all mental health']",215-553-7128,https://drexel.edu/cnhp/practices/mother-baby-connections/,"3201 Chestnut Street, Philadelphia, PA 19102","https://www.google.com/maps/?q=3201+Chestnut+Street,+Philadelphia,+PA+19102/","['This program serves mothers who are pregnant, or have given birth within the last year, who are feeling stressed, depressed or anxious.']",available,"Mother-Baby Connections offers intensive outpatient services for issues that arise during pregnancy and postpartum focusing on a mother’s relationships with her baby, partner and encourages moms to bring their infants to therapy. This program provides:- Individual and group therapy- Support networksSpecific treatment services include:- Cognitive Behavioral Therapy- Mother-baby Interaction Therapy- Interpersonal Therapy- Infant Massage- Women’s Wellness- Yoga, Breath Awareness, Meditation, Deep Relaxation- Referrals for Medication Management- Trauma-focused Therapy (if needed)This program operates on a sliding scale fee schedule based on annual gross income and number of people supported by that income.",['English'],Sliding Scale,TRUE,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9541758,-75.1876883,19102,FALSE,9:00AM - 8:00 PM,9:00AM - 8:00 PM,9:00AM - 8:00 PM,9:00AM - 8:00 PM,9:00AM - 8:00 PM,Closed,Closed,0,Mental Health
MST-PSB Multisystemic Therapy for Problem Sexual Behavior (Public Health Management Corporation),https://www.auntbertha.com//public-health-management-corporation-%2528phmc%2529--philadelphia-pa--mst-psb-%2528multisystemic-therapy-for-problem-sexual-behavior%2529/4927571165446144?postal=19111,"['mental health care', 'family counseling', 'individual counseling', 'outpatient treatment']",,"['teens', 'children', 'criminal justice history', 'families', 'benefit recipients', 'caregivers', 'parents', 'all mental health']",215-764-2387,https://www.phmc.org/site/programs/behavioral-health-services/1267-mst-psb-2,"1500 Market St, Philadelphia, PA, United States, 19102","https://www.google.com/maps/place/Centre+Square,+1500+Market+St,+Philadelphia,+PA+19102/@39.9523167,-75.1690606,732m/data=!3m2!1e3!4b1!4m6!3m5!1s0x89c6c631d57c2da5:0x7b18396985a5990!8m2!3d39.9523167!4d-75.1664857!16s%2Fm%2F02wvksd?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D","['This program helps people who are 11 to 17 years old.', 'Must be experiencing problem sexual behaviors that involve a victim or victims.', 'Must be living with a permanent guardian or preparing for transition to live with a permanent guardian.', 'Must have a caregiver who is willing to participate in family therapy, to enforce the safety plan and who acknowledges that the youth has engaged in problem sexual behavior.', 'Must be MA eligible.', 'Must have an evaluation signed by a licensed psychologist or psychiatrist specifically recommending MSTPSB services.', 'The youth must not: Be actively suicidal, homicidal or psychotic; Be on the Autism Spectrum; Have an IQ less than 70 (some exceptions may apply); or Be in an out-of-home placement with no plan to be reunified with his or her caregiver.']",available,"MST-PSB serves youth 11-17 years old who have engaged in harmful sexual behavior by providing intensive, family-driven therapy delivered in the individual’s home, school or community. Families participate in regular sessions to address the multiple systemic factors associated with youth who have committed sexual offenses.We provide: - Intensive therapy in youth’s natural environment (average of three sessions per week)- 24/7 crisis supportBasic components of the model include:- Assessment and Evaluation- Safety Planning- Addressing Denial and Minimization- Grooming and Cognitive Variables- Clarification Work- Managing the Youth’s Own Victimization and Trauma- Skills Training and Development of Pro-Social Behaviors and Peer Group- Reunification (when appropriate) The average duration of services is 5-7 months. Caregivers must be willing to participate in family therapy, to enforce the safety plan, and to acknowledge that the youth has engaged in problem sexual behavior.MST-PSB accepts Medical Assistance (MA)/Pennsylvania Medicaid. The Referral Form may be downloaded from our website, and completed and faxed back to us. Clients must have an evaluation signed by a licensed psychologist or psychiatrist specifically recommending MSTPSB services. If the referral does not have an evaluation recommending MST-PSB services, we can schedule an appointment with our doctor to determine medical necessity.",['English'],Reduced Cost,TRUE,https://www.facebook.com/publichealthmanagementcorporation,https://www.twitter.com/@phmctweets,"This program covers residents of the following counties: Bucks County, PA, Chester County, PA, Delaware County, PA, Montgomery County, PA and Philadelphia County, PA.",39.9523167,-75.1690606,19102,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.1,Mental Health
Multiple Pathways (The School District of Philadelphia),https://www.auntbertha.com//the-school-district-of-philadelphia--philadelphia-pa--multiple-pathways/6157996095438848?postal=19111,"['counseling', 'more education', 'ged/high-school equivalency']","['navigating the system', 'one-on-one support']","['young adults', 'teens', 'adults 18+']",215-400-4000,https://www.philasd.org/alternative/get-started/,"440 North Broad Street, Philadelphia, PA 19130","https://www.google.com/maps/?q=440+North+Broad+Street,+Philadelphia,+PA+19130/",['Must reside in The School District of Philadelphia area.'],available,"The Multiple Pathways program was designed to help individuals obtain their high school diploma or GED.Services provided include:- Counseling- Placement services- Access to information leading to achievement of a high school diploma or GEDIf you’re interested in the Multiple Pathways options, the Re-Engagement Center should be your first stop. Please feel free to call or visit the Re-Engagement Center during business hours; an appointment is not necessary.","['Arabic', 'Chinese', 'English', 'French', 'Russian', 'Spanish', 'Vietnamese']",Free,TRUE,https://www.facebook.com/PhillySchools/,https://www.twitter.com/@PHLschools,"This program covers residents of the following counties: Delaware County, PA, Montgomery County, PA and Philadelphia County, PA.",39.9607252,-75.1629289,19130,FALSE,9:00AM - 3:00PM,9:00AM - 3:00PM,9:00AM - 3:00PM,9:00AM - 3:00PM,9:00AM - 3:00PM,Closed,Closed,2.4,Mental Health
My Brother's House (Bethesda Project),https://www.auntbertha.com//bethesda-project--philadelphia-pa--my-brother%2527s-house/5138871176658944?postal=19131,"['temporary shelter', 'safe housing', 'mental health care', 'substance abuse counseling']","['meals', 'navigating the system', 'case management']","['all ages', 'male', 'homeless', 'near homeless', 'all mental health']",215-985-1600,https://www.bethesdaproject.org/housing-shelter,"609 South 15th Street, Philadelphia, PA 19146","https://www.google.com/maps/?q=609+South+15th+Street,+Philadelphia,+PA+19146/",['This program serves homeless men.'],available,"My Brother's House program offers a safe heaven that provides pre-recovery housing and an array of supportive services to 20 vulnerable men with chronic mental illness and substance abuse problem. This program provides:- Temporary shelterIn addition to a safe place to stay, resident are provided with:- Meals- Social services",['English'],Free,TRUE,https://www.facebook.com/BethesdaProject/,https://www.twitter.com/@Bethesda_Proj,"This program covers residents of the following counties: Philadelphia County, PA.",39.9435352,-75.167141,19146,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.2,Mental Health
